UT,Altitude,OrbitalSpeed,TrueAnom,EccAnomaly,MeanAnomaly,TrueLong
10266335.76,4274906.953,129715.571,166.610,166.321,166.030,256.769
10266336.12,4275141.408,129714.766,166.679,166.392,166.102,256.838
10266336.48,4275374.656,129713.964,166.748,166.463,166.174,256.907
10266336.80,4275580.974,129713.256,166.810,166.526,166.238,256.969
10266337.12,4275786.338,129712.550,166.871,166.588,166.302,257.030
10266337.42,4275982.240,129711.877,166.930,166.648,166.364,257.089
10266337.58,4276084.703,129711.526,166.961,166.680,166.396,257.120
10266337.78,4276212.447,129711.087,167.000,166.719,166.436,257.159
10266337.94,4276314.373,129710.738,167.030,166.751,166.468,257.189
10266338.12,4276428.754,129710.345,167.065,166.786,166.504,257.224
10266338.30,4276542.833,129709.954,167.100,166.821,166.540,257.259
10266338.46,4276643.983,129709.607,167.130,166.853,166.572,257.289
10266338.62,4276744.895,129709.260,167.161,166.884,166.604,257.320
10266338.78,4276845.567,129708.915,167.192,166.915,166.636,257.351
10266338.94,4276946.001,129708.570,167.223,166.947,166.668,257.382
10266339.12,4277058.703,129708.184,167.257,166.982,166.704,257.416
10266339.30,4277171.103,129707.798,167.292,167.018,166.740,257.451
10266339.46,4277270.760,129707.456,167.322,167.049,166.773,257.482
10266339.62,4277370.178,129707.115,167.353,167.080,166.805,257.512
10266339.78,4277469.357,129706.774,167.384,167.112,166.837,257.543
10266339.94,4277568.297,129706.435,167.415,167.143,166.869,257.574
10266340.10,4277666.998,129706.096,167.446,167.175,166.901,257.605
10266340.28,4277777.750,129705.716,167.480,167.210,166.937,257.639
10266340.44,4277875.943,129705.379,167.511,167.241,166.969,257.670
10266340.62,4277986.124,129705.001,167.545,167.277,167.005,257.705
10266340.78,4278083.809,129704.666,167.576,167.308,167.037,257.735
10266340.94,4278181.254,129704.332,167.607,167.339,167.069,257.766
10266341.10,4278278.460,129703.998,167.638,167.371,167.101,257.797
10266341.28,4278387.531,129703.624,167.672,167.406,167.137,257.831
10266341.42,4278472.155,129703.333,167.699,167.434,167.165,257.858
10266341.58,4278568.643,129703.002,167.730,167.465,167.197,257.889
10266341.74,4278664.892,129702.672,167.761,167.497,167.230,257.920
10266341.94,4278784.866,129702.260,167.799,167.536,167.270,257.958
10266342.10,4278880.577,129701.932,167.830,167.567,167.302,257.989
10266342.26,4278976.048,129701.604,167.861,167.599,167.334,258.020
10266342.38,4279047.494,129701.359,167.884,167.622,167.358,258.043
10266342.58,4279166.271,129700.952,167.922,167.661,167.398,258.081
10266342.74,4279261.023,129700.626,167.953,167.693,167.430,258.112
10266342.94,4279379.127,129700.221,167.991,167.732,167.470,258.151
10266343.12,4279485.100,129699.857,168.026,167.767,167.506,258.185
10266343.30,4279590.770,129699.495,168.061,167.803,167.542,258.220
