TIME_SINCE_MARK,CURRENT_STAGE,ALTITUDE_ASL,DOWN_RANGE,SPEED_SURFACE,SPEED_ORBITAL,MASS,ACCELERATION,Q,AO_A,AO_S,AO_D,ALTITUDE_TRUE,PITCH,GRAVITY_LOSSES,DRAG_LOSSES,STEERING_LOSSES,DELTA_V_EXPENDED
0,6,88.7002590379445,0,0.142446904531347,174.966208580916,1191.51585144311,1.07596624253261,0.00776700636408693,-0.229937141513331,-1.05148881379144,1.07603285251418,16.1922062442137,89.9587341308594,0,0,0,0
0.0199999995529652,6,88.7041080567404,0,0.17404446015263,174.966098946632,1191.38053805009,1.09076009640613,0.011371334813822,-0.207589031025359,-0.965267943570874,0.986934212869533,16.1940418562642,89.9596252441406,0.000423852199284402,2.75843009111411E-08,0.251827566945335,0.25217308218215
0.239999994635582,6,88.8153237501276,0.00894069671630859,0.789567435906447,174.956861973778,1189.84554237634,1.25970541512353,0.294182410370765,-0.0370205857406135,-0.892927177906631,0.893573948589032,16.2587052393483,89.9615173339844,0.00976465906647176,1.50283175838608E-06,3.0975060880907,3.1081731141698
0.459999989718199,6,89.0820721030235,0.00894069671630859,1.52993105291103,174.956223345475,1188.28952700272,1.33624666891279,1.19734799972481,-0.0193320165539513,-0.698417952182912,0.698484212996372,16.4599444322928,89.9870208740234,0.0282103737016583,7.04419405999363E-06,5.97009451898268,6.00442379001938
0.679999984800816,6,89.5138658764889,0,2.28449774789757,174.966386599615,1186.73169237748,1.34446885941837,2.75098248883053,-0.0185150162971288,-0.422920942018009,0.422697139230642,16.82399100821,89.9980224609375,0.0559563205452629,1.90758838895298E-05,8.83647444566894,8.90767486610337
0.899999979883432,6,90.1123005091678,0,3.04385552651904,174.98051268244,1185.1736326851,1.34680260460048,4.95812804807529,-0.0137834783258287,-0.278098607528255,0.277809961549678,17.3541677086893,89.996044921875,0.0930611155412377,4.02666668934022E-05,11.6938345883982,11.8150258890672
1.11999997496605,6,90.8782814474544,0.0126440545532682,3.80710940900665,174.998700262305,1183.61564773828,1.34861986691891,7.82666719597858,-0.00873265639405573,-0.184047204391359,0.182276480111244,18.0515327496117,90,0.139570188871425,7.32347061268255E-05,14.5418998556795,14.7262412005781
1.33999997004867,6,91.8126589024207,0.0154857409677107,4.5742453446018,175.019002109405,1182.05765825883,1.35041017487232,11.3660928005846,-0.00666789154723889,-0.136024752468407,0.134819003603727,18.9169473863754,89.99208984375,0.195528538189552,0.000120904532224861,17.3808389501468,17.6413398490475
1.55999996513128,6,92.9162869901163,0.0126440545532682,5.3452752434536,175.040969868987,1180.49964052811,1.35220810279606,15.5860171070915,-0.00651730524141357,-0.118792216794617,0.116151929039305,19.9512638173345,90,0.260981182173477,0.0001863344881514,20.2107885385582,20.5603418138996
1.7799999602139,6,94.1900231183856,0.0154857409677107,6.12020937808451,175.066352258928,1178.94168383256,1.35401315869032,20.4960422263848,-0.00618797960682513,-0.107899426215278,0.106807016072058,21.1553371986432,90,0.335972303573294,0.00027236914032976,23.0316512479265,23.4832661785068
1.99999995529652,6,95.6347271234612,0.0126440545532682,6.89906489807948,175.095912633823,1177.38364738732,1.35582602453042,26.105799849564,-0.00518013175343449,-0.0960013582184605,0.0946145258340721,22.5300269974198,89.9980224609375,0.420545330484707,0.000381905840926892,25.8432821378567,26.4101328399075
2.21999995037913,6,97.2512655674131,0.0178813934326172,7.68186083884222,175.128733210549,1175.82564837113,1.35764652977275,32.4249704796258,-0.0040821381476523,-0.0885746567115567,0.087989625846297,24.0761961056525,89.9980224609375,0.51474365173664,0.000518112313760557,28.6456590220605,29.3409616781114
2.43999994546175,6,99.040506645618,0.0178813934326172,8.46861611202139,175.164470246213,1174.2676497139,1.35947482192582,39.46323956859,-0.00360230874971434,-0.0866785166696241,0.0836599110763135,25.7947130354319,89.996044921875,0.618610527083106,0.000684222626126414,31.4387759074532,32.2757728111572
2.65999994054437,6,101.003323273372,0.0252881091065364,9.25934658243934,175.203902023806,1172.70967394486,1.36131086397896,47.23030048999,-0.00343096637529964,-0.0860039118832301,0.0831939621285116,27.6864489440992,89.9980224609375,0.73218841584565,0.000883331330255083,34.222531136717,35.2145862650818
